80,LEG,Licenciatura em Engenharia Geológica,Licenciatura,Departamento de Ciências da Terra
215,MEGGR,Mestrado em Engenharia Geológica (Georrecursos),Mestrado,Departamento de Ciências da Terra
216,MEGGT,Mestrado em Engenharia Geológica (Geotecnia),Mestrado,Departamento de Ciências da Terra
345,PDEG,Programa Doutoral em Engenharia Geológica,Doutoramento,Departamento de Ciências da Terra
346,PDG,Programa Doutoral em Geologia,Doutoramento,Departamento de Ciências da Terra
69,LBCM,Licenciatura em Biologia Celular e Molecular,Licenciatura,Departamento de Ciências da Vida
191,MGMB,Mestrado em Genética Molecular e Biomedicina,Mestrado,Departamento de Ciências da Vida
403,PDB,Programa Doutoral em Biologia,Doutoramento,Departamento de Ciências da Vida
351,LEMt,Licenciatura em Engenharia de Materiais,Licenciatura,Departamento de Ciências dos Materiais
102,MEMt,Mestrado em Engenharia de Materiais,Mestrado,Departamento de Ciências dos Materiais
195,MEMN,Mestrado em Engenharia Microelectrónica e Nanotecnologias,Mestrado,Departamento de Ciências dos Materiais
389,MIEMN,Mestrado Integrado em Engenharia de Micro e Nanotecnologias,Mestrado integrado,Departamento de Ciências dos Materiais
385,PDCEMt,Programa Doutoral em Ciência e Engenharia de Materiais,Doutoramento,Departamento de Ciências dos Materiais
360,PDNN,Programa Doutoral em Nanotecnologias e Nanociências,Doutoramento,Departamento de Ciências dos Materiais
304,EATADS,Estudos Avançados em Território, Ambiente e Desenvolvimento Sustentável,Estudos Avançados,Departamento de Ciências e Engenharia do Ambiente
281,MEGA,Mestrado em Engenharia e Gestão da Água,Mestrado,Departamento de Ciências e Engenharia do Ambiente
172,MIEA,Mestrado Integrado em Engenharia do Ambiente,Mestrado integrado,Departamento de Ciências e Engenharia do Ambiente
402,PDA,Programa Doutoral em Ambiente,Doutoramento,Departamento de Ciências e Engenharia do Ambiente
396,PDE-P,Programa Doutoral em E-Planeamento,Doutoramento,Departamento de Ciências e Engenharia do Ambiente
390,MEBG,Mestrado em Ensino de Biologia e da Geologia,Mestrado,Departamento de Ciências Sociais Aplicadas
391,MEFQ,Mestrado em Ensino de Física e de Química,Mestrado,Departamento de Ciências Sociais Aplicadas
411,PDAT,Programa Doutoral em Avaliação de Tecnologia,Doutoramento,Departamento de Ciências Sociais Aplicadas
312,PDCE,Programa Doutoral em Ciências da Educação,Doutoramento,Departamento de Ciências Sociais Aplicadas
347,PDHFPCT,Programa Doutoral em História, Filosofia e Património da Ciência e da Tecnologia,Doutoramento,Departamento de Ciências Sociais Aplicadas
252,LCR,Licenciatura em Conservação - Restauro,Licenciatura,Departamento de Conservação e Restauro
336,MACV,Mestrado em Arte e Ciência do Vidro,Mestrado,Departamento de Conservação e Restauro
180,MCCons,Mestrado em Ciências da  Conservação,Mestrado,Departamento de Conservação e Restauro
282,MCR,Mestrado em Conservação e Restauro,Mestrado,Departamento de Conservação e Restauro
409,PDCR,Programa Doutoral em Conservação e Restauro,Doutoramento,Departamento de Conservação e Restauro
309,EPGGEC,Estudos Pós-Graduados em Geotecnia para Engenharia Civil,Estudos Pós-Graduado,Departamento de Engenharia Civil
272,MEC/EG,Mestrado em Engenharia Civil (Estruturas e Geotecnia),Mestrado,Departamento de Engenharia Civil
271,MEC/RE,Mestrado em Engenharia Civil (Reabilitação de Edifícios),Mestrado,Departamento de Engenharia Civil
212,MIEC,Mestrado Integrado em Engenharia Civil,Mestrado integrado,Departamento de Engenharia Civil
395,PDEC,Programa Doutoral em Engenharia Civil,Doutoramento,Departamento de Engenharia Civil
344,MER,Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis,Mestrado,Departamento de Engenharia Electrotécnica
234,MEESC,Mestrado em Engenharia Electrotécnica, Sistemas e Computadores,Mestrado,Departamento de Engenharia Electrotécnica
177,MIEEC,Mestrado Integrado em Engenharia Electrotécnica e de Computadores,Mestrado integrado,Departamento de Engenharia Electrotécnica
361,PDEEC,Programa Doutoral em Engenharia Electrotécnica e de Computadores,Doutoramento,Departamento de Engenharia Electrotécnica
317,EPGGP,Estudos Pós-Graduados em Gestão de Projectos,Estudos Pós-Graduado,Departamento de Engenharia Mecânica e Industrial
301,EPGTSSH,Estudos Pós-Graduados para Técnico Superior de Segurança e Higiene do Trabalho,Estudos Pós-Graduado,Departamento de Engenharia Mecânica e Industrial
392,MESd,Mestrado em Engenharia da Soldadura,Mestrado,Departamento de Engenharia Mecânica e Industrial
270,MEGI,Mestrado em Engenharia e Gestão Industrial,Mestrado,Departamento de Engenharia Mecânica e Industrial
106,MEMc,Mestrado em Engenharia Mecânica,Mestrado,Departamento de Engenharia Mecânica e Industrial
167,MIEGI,Mestrado Integrado em Engenharia e Gestão Industrial,Mestrado integrado,Departamento de Engenharia Mecânica e Industrial
169,MIEMc,Mestrado Integrado em Engenharia Mecânica,Mestrado integrado,Departamento de Engenharia Mecânica e Industrial
410,PDEI,Programa Doutoral em Engenharia Industrial,Doutoramento,Departamento de Engenharia Mecânica e Industrial
393,PDEMc,Programa Doutoral em Engenharia Mecânica,Doutoramento,Departamento de Engenharia Mecânica e Industrial
165,MIEBM,Mestrado Integrado em Engenharia Biomédica,Mestrado integrado,Departamento de Física
183,MIEF,Mestrado Integrado em Engenharia Física,Mestrado integrado,Departamento de Física
406,PDEBm,Programa Doutoral em Engenharia Biomédica,Doutoramento,Departamento de Física
405,PDEF,Programa Doutoral em Engenharia Física,Doutoramento,Departamento de Física
404,PDF,Programa Doutoral em Física,Doutoramento,Departamento de Física
81,LEI,Licenciatura em Engenharia Informática,Licenciatura,Departamento de Informática
105,MEI,Mestrado em Engenharia Informática,Mestrado,Departamento de Informática
120,MLC,Mestrado em Lógica Computacional,Mestrado europeu,Departamento de Informática
287,PDI,Programa Doutoral em Informática,Doutoramento,Departamento de Informática
412,PDMD,Programa Doutoral em Media Digitais,Doutoramento,Departamento de Informática
86,LM,Licenciatura em Matemática,Licenciatura,Departamento de Matemática
283,MEM,Mestrado em Ensino da Matemática,Mestrado,Departamento de Matemática
284,MMA,Mestrado em Matemática e Aplicações,Mestrado,Departamento de Matemática
415,PDEGR,Programa Doutoral em Estatística e Gestão do Risco,Doutoramento,Departamento de Matemática
394,PDM,Programa Doutoral em Matemática,Doutoramento,Departamento de Matemática
417,CG,Ciências Gastronómicas,Workshop,Departamento de Química
311,EABEng,Estudos Avançados em Bioengenharia (MIT),Estudos Avançados,Departamento de Química
413,EPGCG,Estudos Pós-Graduados em Ciências Gastronómicas,Estudos Pós-Graduado,Departamento de Química
70,LBq,Licenciatura em Bioquímica,Licenciatura,Departamento de Química
87,LQA,Licenciatura em Química Aplicada,Licenciatura,Departamento de Química
175,MBO,Mestrado em Bioorgânica,Mestrado,Departamento de Química
162,MBEF,Mestrado em Bioquímica Estrutural e Funcional,Mestrado,Departamento de Química
184,MBt,Mestrado em Biotecnologia,Mestrado,Departamento de Química
176,MIEQB,Mestrado Integrado em Engenharia Química e Bioquímica,Mestrado integrado,Departamento de Química
289,PDBEng,Programa Doutoral em Bioengenharia (MIT),Doutoramento,Departamento de Química
399,PDBq,Programa Doutoral em Bioquímica,Doutoramento,Departamento de Química
401,PDBt,Programa Doutoral em Biotecnologia,Doutoramento,Departamento de Química
398,PDQ,Programa Doutoral em Química,Doutoramento,Departamento de Química
388,PDQS,Programa Doutoral em Química Sustentável,Doutoramento,Departamento de Química
280,MEBE,Mestrado em Energia e Bioenergia,Mestrado,Grupo de Disciplinas de Ecologia da Hidrosfera
218,MTSA,Mestrado em Tecnologia e Segurança Alimentar,Mestrado,Grupo de Disciplinas de Ecologia da Hidrosfera
407,PDEB,Programa Doutoral em Energia e Bioenergia,Doutoramento,Grupo de Disciplinas de Ecologia da Hidrosfera
408,PDTSA,Programa Doutoral em Qualidade  Alimentar,Doutoramento,Grupo de Disciplinas de Ecologia da Hidrosfera
